subregion,region,Rate of Police Killings per Million Population
Albuquerque,New Mexico,3.589575156
Atlanta,Georgia,6.578918514
Austin,Texas,6.573246231
Baltimore,Maryland,4.817009825
Boston,Massachusetts,3.049319697
Charlotte-Mecklenberg,North Carolina,1.234631919
Chicago,Illinois,2.938595476
Cleveland,Ohio,5.134511361
Colorado Springs,Colorado,2.243007424
Columbus,Ohio,4.78493511
Corpus Christi,Texas,6.241534918
Dallas,Texas,5.464280389
Denver,Colorado,1.50633716
Detroit,Michigan,1.470047777
El Paso,Texas,5.89070388
Fort Worth,Texas,6.155831173
Fresno,California,7.752148314
Houston,Texas,6.251233502
Indianapolis,Indiana,10.60335443
Jacksonville,Florida,5.859040852
"Kansas City, MO",Missouri,6.37213254
Las Vegas,Nevada,4.931287441
Long Beach,California,10.55794517
Los Angeles,California,5.599582984
Louisville,Kentucky,3.263814093
Memphis,Tennessee,4.567176313
Miami,Florida,6.971361646
Milwaukee,Wisconsin,1.667661705
Minneapolis,Minnesota,2.455753462
Nashville,Tennessee,6.211045102
New Orleans,Louisiana,10.40799334
New York,New York,1.295477289
Oakland,California,12.083862
Oklahoma City,Oklahoma,12.89070934
Philadelphia,Pennsylvania,1.281807246
Phoenix,Arizona,4.554154755
Portland,Oregon,4.843709636
Raleigh,North Carolina,2.27326459
Riverside,California,0
Sacramento,California,2.061010019
San Antonio,Texas,3.480204942
San Diego,California,5.792614272
San Francisco,California,9.384505478
San Jose,California,5.906761766
Santa Ana,California,5.971771436
Seattle,Washington,4.488719847
St. Louis,Missouri,9.451230078
Tampa,Florida,5.575705536
Tucson,Arizona,5.682119506
Virginia Beach,Virginia,4.434786465
Washington D.C.,DC,3.035394214
Wichita,Kansas,5.149158241